               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04804,            0.024575,            0.025685,             0.87881,             0.88158,             0.93618,             0.57728,            0.021268,            0.010449,           0.0033237,            0.070008,           0.0033324,           0.0033324
                   1,            0.034401,            0.016979,           0.0078648,             0.97182,              0.9425,             0.97454,             0.63593,            0.018946,             0.00989,           0.0022955,            0.039995,           0.0066525,           0.0066525
                   2,            0.032123,            0.016409,           0.0063292,             0.94541,             0.90656,             0.95608,             0.63233,            0.018843,            0.010555,           0.0021955,           0.0099688,           0.0099595,           0.0099595
                   3,            0.030119,            0.017005,           0.0065778,             0.95113,             0.93348,             0.96959,             0.64333,            0.017023,             0.01034,           0.0015967,           0.0099406,           0.0099406,           0.0099406
                   4,            0.027644,            0.016466,           0.0052247,              0.9554,             0.94868,             0.97768,             0.65404,            0.016125,           0.0099233,           0.0010642,           0.0099406,           0.0099406,           0.0099406
                   5,            0.026422,            0.015782,            0.004579,             0.95872,             0.95006,             0.97524,              0.6607,            0.015686,           0.0098983,          0.00097847,           0.0099208,           0.0099208,           0.0099208
                   6,            0.025219,            0.015241,           0.0035265,             0.96194,             0.96767,             0.98299,             0.68404,            0.015214,           0.0093202,          0.00053979,            0.009901,            0.009901,            0.009901
                   7,            0.024399,            0.014953,           0.0031021,             0.96136,             0.96541,             0.98496,             0.68421,            0.014864,           0.0093292,          0.00054587,           0.0098812,           0.0098812,           0.0098812
                   8,            0.023954,            0.014796,           0.0029853,             0.96428,             0.97193,             0.98568,             0.68503,            0.014914,           0.0092156,          0.00059238,           0.0098614,           0.0098614,           0.0098614
                   9,             0.02371,            0.014784,           0.0027551,             0.96931,             0.97623,             0.98867,              0.6985,            0.014229,           0.0089951,          0.00053988,           0.0098416,           0.0098416,           0.0098416
